gid	logFC.XYtestis.XXovary	cutoff	co_sb	meanXY
TRINITY_DN127730_c0_g10_i1	-6.76008985	5	female	NA
TRINITY_DN124832_c12_g1_i1	-6.745632385	5	female	NA
TRINITY_DN135160_c6_g2_i1	-6.7442743	5	female	NA
TRINITY_DN98620_c0_g2_i1	-6.736899367	5	female	-2.171457752
TRINITY_DN133281_c3_g3_i6	-6.732054151	5	female	-0.133625327
TRINITY_DN131394_c0_g1_i2	-6.718992492	5	female	-0.969303948
TRINITY_DN114530_c0_g5_i1	-6.695501543	5	female	NA
TRINITY_DN47360_c0_g1_i1	-6.676843424	5	female	NA
TRINITY_DN126147_c0_g2_i5	-6.672456076	5	female	NA
TRINITY_DN121030_c0_g1_i1	-6.666434929	5	female	-1.653725585
TRINITY_DN131178_c0_g2_i1	-6.654975583	5	female	NA
TRINITY_DN125971_c0_g1_i2	-6.647899722	5	female	0.261787047
TRINITY_DN133674_c1_g2_i1	-6.631754624	5	female	NA
TRINITY_DN134793_c1_g3_i3	-6.630096917	5	female	-1.182347304
TRINITY_DN132173_c9_g2_i1	-6.620325122	5	female	NA
TRINITY_DN135835_c0_g1_i3	-6.618690779	5	female	-0.342465421
TRINITY_DN129466_c1_g5_i1	-6.615779683	5	female	-0.527705715
TRINITY_DN124190_c0_g2_i1	-6.610880084	5	female	-1.131521495
TRINITY_DN125054_c0_g2_i1	-6.595265274	5	female	-2.102543754
TRINITY_DN124362_c0_g5_i1	-6.58992505	5	female	NA
TRINITY_DN129466_c1_g2_i3	-6.580342664	5	female	0.249113456
TRINITY_DN130939_c1_g4_i1	-6.578315309	5	female	NA
TRINITY_DN125350_c0_g1_i1	-6.570463757	5	female	NA
TRINITY_DN69434_c0_g1_i1	-6.556858173	5	female	NA
TRINITY_DN89311_c0_g1_i1	-6.556818841	5	female	NA
TRINITY_DN113269_c0_g1_i2	-6.555628663	5	female	NA
TRINITY_DN136529_c1_g1_i7	-6.544437085	5	female	5.187482305
TRINITY_DN111724_c0_g1_i1	-6.532595354	5	female	0.433458313
TRINITY_DN129826_c4_g2_i2	-6.531579406	5	female	-3.675930632
TRINITY_DN135584_c0_g3_i2	-6.52113429	5	female	NA
TRINITY_DN92629_c0_g4_i1	-6.513859468	5	female	-3.013443598
TRINITY_DN7291_c0_g1_i1	-6.499955327	5	female	NA
TRINITY_DN130516_c2_g3_i1	-6.49621401	5	female	NA
TRINITY_DN110684_c0_g1_i2	-6.489139948	5	female	NA
TRINITY_DN132180_c5_g1_i6	-6.485764263	5	female	-1.270400867
TRINITY_DN129042_c7_g5_i3	-6.485480832	5	female	0.956818299
TRINITY_DN103838_c0_g1_i1	-6.480451356	5	female	1.775880623
TRINITY_DN121709_c1_g3_i3	-6.479954278	5	female	-0.082234518
TRINITY_DN111767_c0_g2_i1	-6.477578986	5	female	NA
TRINITY_DN112593_c0_g1_i1	-6.474443355	5	female	NA
TRINITY_DN119755_c1_g4_i1	-6.466685358	5	female	NA
TRINITY_DN129881_c4_g2_i1	-6.466468542	5	female	NA
TRINITY_DN127485_c0_g1_i3	-6.451523949	5	female	-0.747047726
TRINITY_DN117838_c2_g1_i2	-6.44810653	5	female	-3.249136399
TRINITY_DN90886_c0_g1_i1	-6.444957859	5	female	NA
TRINITY_DN131718_c2_g6_i3	-6.441577484	5	female	NA
TRINITY_DN134800_c12_g7_i1	-6.426974553	5	female	NA
TRINITY_DN121223_c0_g2_i5	-6.424126772	5	female	NA
TRINITY_DN129824_c0_g6_i1	-6.423008188	5	female	NA
TRINITY_DN105525_c0_g1_i1	-6.420009996	5	female	-2.124084628
TRINITY_DN131690_c0_g1_i2	-6.404315837	5	female	-1.618586286
TRINITY_DN125519_c4_g4_i2	-6.403625397	5	female	-0.531887407
TRINITY_DN121123_c0_g1_i2	-6.401721123	5	female	NA
TRINITY_DN42221_c0_g1_i1	-6.389067706	5	female	NA
TRINITY_DN128638_c0_g1_i2	-6.357892439	5	female	2.520536495
TRINITY_DN110915_c0_g2_i1	-6.353828674	5	female	NA
TRINITY_DN129105_c2_g4_i1	-6.342698315	5	female	NA
TRINITY_DN119717_c0_g1_i2	-6.34235663	5	female	NA
TRINITY_DN125054_c0_g1_i2	-6.341630787	5	female	NA
TRINITY_DN131147_c0_g2_i1	-6.336373765	5	female	1.228918836
TRINITY_DN126060_c0_g1_i1	-6.335917777	5	female	NA
TRINITY_DN49077_c0_g1_i1	-6.335505915	5	female	NA
TRINITY_DN123349_c1_g4_i2	-6.327778306	5	female	-0.46684902
TRINITY_DN111232_c0_g2_i1	-6.326198175	5	female	0.122390698
TRINITY_DN111588_c1_g2_i1	-6.318543475	5	female	NA
TRINITY_DN126495_c0_g1_i1	-6.314254405	5	female	-2.649909665
TRINITY_DN97108_c0_g1_i1	-6.308351156	5	female	-2.503923832
TRINITY_DN131183_c0_g2_i1	-6.304755017	5	female	NA
TRINITY_DN131967_c0_g1_i17	-6.293541123	5	female	NA
TRINITY_DN125963_c8_g3_i1	-6.26997346	5	female	NA
TRINITY_DN129860_c0_g3_i1	-6.267933842	5	female	0.118163773
TRINITY_DN133881_c0_g2_i1	-6.266476325	5	female	-1.856587177
TRINITY_DN97228_c0_g1_i1	-6.263436112	5	female	NA
TRINITY_DN136563_c5_g1_i2	-6.260602705	5	female	NA
TRINITY_DN130800_c1_g1_i1	-6.247490738	5	female	-1.250370326
TRINITY_DN130084_c0_g1_i1	-6.243541874	5	female	-3.850041626
TRINITY_DN22683_c0_g1_i1	-6.235003053	5	female	NA
TRINITY_DN70925_c0_g2_i1	-6.234467956	5	female	NA
TRINITY_DN101116_c0_g3_i1	-6.201670564	5	female	NA
