gid	logFC.XYtestis.XXovary	cutoff	co_sb	meanXY	sex
TRINITY_DN119446_c0_g1_i3	1.083845788	FC1	male	5.736378327	male
TRINITY_DN131678_c0_g4_i1	1.084041811	FC1	male	-0.787810061	male
TRINITY_DN117514_c0_g1_i1	1.084129531	FC1	male	2.856212867	male
TRINITY_DN129398_c7_g1_i4	1.084381374	FC1	male	4.641462101	male
TRINITY_DN127339_c3_g1_i1	1.084906545	FC1	male	4.229985878	male
TRINITY_DN131344_c3_g8_i3	1.084933923	FC1	male	4.605740653	male
TRINITY_DN121976_c0_g1_i1	1.085141085	FC1	male	0.875003329	male
TRINITY_DN116717_c0_g2_i1	1.085431261	FC1	male	1.089050852	male
TRINITY_DN96357_c0_g2_i1	1.085484627	FC1	male	1.7186049	male
TRINITY_DN132603_c3_g2_i1	1.085609126	FC1	male	0.232621054	male
TRINITY_DN129065_c3_g2_i2	1.086199876	FC1	male	1.879958414	male
TRINITY_DN130535_c1_g1_i1	1.086411505	FC1	male	3.659564398	male
TRINITY_DN93825_c0_g1_i2	1.086545536	FC1	male	-0.904417969	male
TRINITY_DN130535_c0_g2_i1	1.087146594	FC1	male	2.492257539	male
TRINITY_DN126166_c0_g1_i10	1.087339537	FC1	male	4.585438311	male
TRINITY_DN134299_c0_g1_i2	1.087671655	FC1	male	4.615683981	male
TRINITY_DN127698_c2_g3_i1	1.087913503	FC1	male	2.501934689	male
TRINITY_DN115886_c2_g1_i2	1.08837552	FC1	male	1.909195205	male
TRINITY_DN128197_c7_g1_i3	1.088472568	FC1	male	4.985862684	male
TRINITY_DN110146_c0_g1_i3	1.088556467	FC1	male	3.567218552	male
TRINITY_DN133515_c1_g1_i2	1.088688297	FC1	male	1.275904525	male
TRINITY_DN130148_c2_g1_i2	1.088694392	FC1	male	4.381833584	male
TRINITY_DN118721_c0_g1_i2	1.089156732	FC1	male	1.988731684	male
TRINITY_DN134827_c1_g8_i1	1.089196632	FC1	male	9.729723204	male
TRINITY_DN134583_c2_g1_i1	1.08953319	FC1	male	3.96693517	male
TRINITY_DN129895_c0_g1_i1	1.089790233	FC1	male	2.802070718	male
TRINITY_DN120781_c0_g1_i2	1.089846246	FC1	male	2.982896305	male
TRINITY_DN125634_c1_g4_i5	1.089878338	FC1	male	3.11633705	male
TRINITY_DN123304_c0_g1_i1	1.090018585	FC1	male	0.300222128	male
TRINITY_DN125998_c1_g1_i4	1.090375745	FC1	male	3.551801682	male
TRINITY_DN136525_c2_g3_i2	1.09110504	FC1	male	3.211294511	male
TRINITY_DN123634_c1_g1_i1	1.091362889	FC1	male	1.800423379	male
TRINITY_DN127570_c4_g1_i11	1.091404315	FC1	male	3.174459817	male
TRINITY_DN70684_c0_g1_i1	1.091558041	FC1	male	6.008275111	male
TRINITY_DN128925_c7_g1_i1	1.091622363	FC1	male	4.682688567	male
TRINITY_DN134762_c2_g1_i3	1.091848502	FC1	male	2.641278883	male
TRINITY_DN120058_c3_g1_i3	1.092172434	FC1	male	2.373505231	male
TRINITY_DN122662_c0_g2_i1	1.09251634	FC1	male	1.736841965	male
TRINITY_DN125431_c0_g1_i2	1.093169677	FC1	male	7.477565409	male
TRINITY_DN130806_c0_g2_i3	1.093237832	FC1	male	4.334771778	male
