gid	logFC.XYtestis.XXovary	cutoff	co_sb	log2RPKM	sex
TRINITY_DN125558_c1_g2_i1	-7.220624785	FC7	female	-2.61209005	male
TRINITY_DN82182_c0_g1_i1	-7.213785924	FC7	female	NA	male
TRINITY_DN127559_c7_g3_i1	-7.212473613	FC7	female	-2.186668231	male
TRINITY_DN116262_c0_g2_i2	-7.209850004	FC7	female	NA	male
TRINITY_DN134769_c2_g1_i4	-7.187355924	FC7	female	NA	male
TRINITY_DN128356_c5_g3_i2	-7.182395045	FC7	female	NA	male
TRINITY_DN115334_c0_g2_i2	-7.173046555	FC7	female	NA	male
TRINITY_DN135727_c2_g2_i1	-7.160257086	FC7	female	NA	male
TRINITY_DN103798_c0_g1_i1	-7.142695044	FC7	female	1.137233564	male
TRINITY_DN126126_c1_g3_i1	-7.140596704	FC7	female	NA	male
TRINITY_DN132253_c2_g8_i2	-7.138960431	FC7	female	NA	male
TRINITY_DN124333_c0_g1_i1	-7.119241644	FC7	female	NA	male
TRINITY_DN103897_c0_g3_i1	-7.099180438	FC7	female	NA	male
TRINITY_DN131327_c3_g4_i1	-7.099077152	FC7	female	NA	male
TRINITY_DN116067_c0_g1_i1	-7.081456306	FC7	female	-1.059035365	male
TRINITY_DN95878_c0_g1_i2	-7.063057687	FC7	female	NA	male
TRINITY_DN121522_c0_g1_i3	-7.062353398	FC7	female	NA	male
TRINITY_DN74421_c0_g1_i1	-7.0481186	FC7	female	NA	male
TRINITY_DN132122_c0_g3_i7	-7.046388986	FC7	female	NA	male
TRINITY_DN120818_c0_g1_i2	-7.031249255	FC7	female	-0.656312642	male
TRINITY_DN95890_c0_g1_i1	-7.019551481	FC7	female	1.600885402	male
TRINITY_DN181076_c0_g1_i1	-7.018597633	FC7	female	-0.37006465	male
TRINITY_DN109099_c0_g2_i2	-7.018575647	FC7	female	NA	male
TRINITY_DN118245_c0_g1_i2	-6.995827454	FC5	female	3.673766505	male
TRINITY_DN120314_c0_g3_i1	-6.968537772	FC5	female	NA	male
TRINITY_DN110103_c0_g1_i1	-6.960532867	FC5	female	-1.434505101	male
TRINITY_DN133921_c11_g2_i2	-6.956907776	FC5	female	NA	male
TRINITY_DN128157_c0_g1_i3	-6.945705738	FC5	female	NA	male
TRINITY_DN134055_c0_g1_i1	-6.943590743	FC5	female	-1.53727301	male
TRINITY_DN132810_c2_g2_i1	-6.939360753	FC5	female	NA	male
TRINITY_DN125119_c3_g4_i1	-6.931187888	FC5	female	NA	male
TRINITY_DN131157_c0_g1_i1	-6.916021126	FC5	female	NA	male
TRINITY_DN193701_c0_g1_i1	-6.900269412	FC5	female	NA	male
TRINITY_DN118554_c3_g1_i4	-6.888322985	FC5	female	-0.790546197	male
TRINITY_DN115449_c0_g4_i8	-6.874024271	FC5	female	1.150139153	male
TRINITY_DN125454_c3_g1_i1	-6.873310603	FC5	female	-0.179265697	male
TRINITY_DN128175_c8_g3_i2	-6.868565212	FC5	female	NA	male
TRINITY_DN117724_c0_g1_i1	-6.865544629	FC5	female	-1.86976275	male
TRINITY_DN112226_c0_g2_i2	-6.846507977	FC5	female	NA	male
TRINITY_DN113605_c0_g1_i1	-6.824035112	FC5	female	NA	male
TRINITY_DN114530_c0_g6_i4	-6.811114045	FC5	female	-2.416806861	male
TRINITY_DN134122_c5_g6_i1	-6.776411166	FC5	female	-1.326542295	male
TRINITY_DN125828_c2_g2_i3	-6.771656354	FC5	female	-0.468423552	male
TRINITY_DN129827_c4_g3_i1	-6.761444342	FC5	female	1.347831932	male
TRINITY_DN130424_c0_g1_i4	-6.760722639	FC5	female	NA	male
TRINITY_DN127730_c0_g10_i1	-6.76008985	FC5	female	NA	male
TRINITY_DN124832_c12_g1_i1	-6.745632385	FC5	female	NA	male
TRINITY_DN135160_c6_g2_i1	-6.7442743	FC5	female	NA	male
TRINITY_DN98620_c0_g2_i1	-6.736899367	FC5	female	-2.171457752	male
TRINITY_DN133281_c3_g3_i6	-6.732054151	FC5	female	-0.133625327	male
