gid	sex	bias
7.468697512	meanmale	unbias
0.163749497	meanmale	unbias
2.108316173	meanmale	unbias
5.620834997	meanmale	unbias
5.776395608	meanmale	unbias
-0.686427365	meanmale	unbias
8.907083878	meanmale	unbias
1.493868911	meanmale	unbias
-0.814983079	meanmale	unbias
5.751240451	meanmale	unbias
5.271523232	meanmale	unbias
4.199282597	meanmale	unbias
5.601329976	meanmale	unbias
1.110404979	meanmale	unbias
0.806262878	meanmale	unbias
1.453735536	meanmale	unbias
-1.119107124	meanmale	unbias
0.757803377	meanmale	unbias
1.840426154	meanmale	unbias
0.611266444	meanmale	unbias
3.475848336	meanmale	unbias
3.22981138	meanmale	unbias
-0.130112953	meanmale	unbias
0.169786428	meanmale	unbias
2.449017999	meanmale	unbias
-0.621117072	meanmale	unbias
0.58148642	meanmale	unbias
0.241909875	meanmale	unbias
1.027662356	meanmale	unbias
2.315400197	meanmale	unbias
0.150296955	meanmale	unbias
6.073600343	meanmale	unbias
2.753441089	meanmale	unbias
1.396998819	meanmale	unbias
2.334730628	meanmale	unbias
2.672457664	meanmale	unbias
1.027187981	meanmale	unbias
4.272653497	meanmale	unbias
3.09032378	meanmale	unbias
4.985396676	meanmale	unbias
2.298202437	meanmale	unbias
3.513207374	meanmale	unbias
4.927072635	meanmale	unbias
3.404041893	meanmale	unbias
4.840580616	meanmale	unbias
4.742633247	meanmale	unbias
4.39395531	meanmale	unbias
1.229935877	meanmale	unbias
8.421373239	meanmale	unbias
4.847760769	meanmale	unbias
6.806386906	meanmale	unbias
6.856685628	meanmale	unbias
1.72059883	meanmale	unbias
4.876089501	meanmale	unbias
0.307076198	meanmale	unbias
-1.36432571	meanmale	unbias
6.88491771	meanmale	unbias
1.022052162	meanmale	unbias
3.838571519	meanmale	unbias
0.825264769	meanmale	unbias
5.316777986	meanmale	unbias
1.746970023	meanmale	unbias
4.645809221	meanmale	unbias
0.657800131	meanmale	unbias
1.139008328	meanmale	unbias
3.065772031	meanmale	unbias
0.985467962	meanmale	unbias
1.61899389	meanmale	unbias
8.497936442	meanmale	unbias
6.663285945	meanmale	unbias
1.151166582	meanmale	unbias
2.884586528	meanmale	unbias
2.050304812	meanmale	unbias
0.301859659	meanmale	unbias
4.591294737	meanmale	unbias
5.777840366	meanmale	unbias
1.487144696	meanmale	unbias
3.030170223	meanmale	unbias
1.612415266	meanmale	unbias
6.790282493	meanmale	unbias
0.51797034	meanmale	unbias
2.183154762	meanmale	unbias
2.240626273	meanmale	unbias
3.854471693	meanmale	unbias
4.659189806	meanmale	unbias
2.07673004	meanmale	unbias
5.461167535	meanmale	unbias
-0.60782143	meanmale	unbias
1.03027182	meanmale	unbias
1.924874198	meanmale	unbias
6.042613165	meanmale	unbias
6.139803608	meanmale	unbias
3.687061231	meanmale	unbias
2.604344195	meanmale	unbias
2.774634088	meanmale	unbias
6.318714066	meanmale	unbias
4.03975811	meanmale	unbias
5.086829531	meanmale	unbias
1.817634318	meanmale	unbias
