Log2RPKM	sex	bias
2.458955613	meanmale	female
0.83647278	meanmale	female
5.094370155	meanmale	female
1.357916404	meanmale	female
1.25524195	meanmale	female
2.155512695	meanmale	female
2.702085388	meanmale	female
-2.529873341	meanmale	female
-0.492823393	meanmale	female
4.33448252	meanmale	female
NA	meanmale	female
NA	meanmale	female
3.26646511	meanmale	female
4.990825853	meanmale	female
-0.605872421	meanmale	female
2.765184254	meanmale	female
5.922996531	meanmale	female
0.484100808	meanmale	female
3.041996483	meanmale	female
4.198501493	meanmale	female
-3.125901864	meanmale	female
2.340394486	meanmale	female
NA	meanmale	female
NA	meanmale	female
-2.915737432	meanmale	female
1.160287963	meanmale	female
2.476037158	meanmale	female
2.521667844	meanmale	female
NA	meanmale	female
-2.824330763	meanmale	female
5.291718896	meanmale	female
3.419549423	meanmale	female
1.647430841	meanmale	female
5.422498477	meanmale	female
2.130913215	meanmale	female
1.947339344	meanmale	female
5.410511548	meanmale	female
6.326306638	meanmale	female
3.33888045	meanmale	female
0.014885506	meanmale	female
0.100444351	meanmale	female
3.38094421	meanmale	female
3.607555198	meanmale	female
3.037293179	meanmale	female
2.424632503	meanmale	female
1.528250355	meanmale	female
2.451241168	meanmale	female
3.907001074	meanmale	female
-1.541858962	meanmale	female
2.696160569	meanmale	female
2.106319284	meanmale	female
-1.38598342	meanmale	female
5.242688771	meanmale	female
2.976717327	meanmale	female
0.642308041	meanmale	female
3.761575561	meanmale	female
NA	meanmale	female
3.145069214	meanmale	female
1.695994001	meanmale	female
NA	meanmale	female
2.799839459	meanmale	female
2.811589914	meanmale	female
2.84171736	meanmale	female
-1.86976275	meanmale	female
NA	meanmale	female
4.051213311	meanmale	female
5.206614496	meanmale	female
3.914204627	meanmale	female
-0.394802434	meanmale	female
-1.361037062	meanmale	female
3.816331887	meanmale	female
-0.129746143	meanmale	female
-0.143231935	meanmale	female
5.765656217	meanmale	female
3.164048563	meanmale	female
-3.2491364	meanmale	female
-0.698811763	meanmale	female
3.514388287	meanmale	female
-0.56281063	meanmale	female
3.874382164	meanmale	female
-0.334339681	meanmale	female
0.289146009	meanmale	female
1.937775498	meanmale	female
0.848419138	meanmale	female
4.591220705	meanmale	female
4.081928553	meanmale	female
-3.016829911	meanmale	female
4.479918324	meanmale	female
3.588298507	meanmale	female
0.350808902	meanmale	female
-0.327521443	meanmale	female
NA	meanmale	female
3.001201262	meanmale	female
NA	meanmale	female
0.976492398	meanmale	female
0.916619294	meanmale	female
0.308145491	meanmale	female
0.581143907	meanmale	female
NA	meanmale	female
0.486921124	meanmale	female
0.321474287	meanmale	female
5.549624452	meanmale	female
-1.635680147	meanmale	female
-0.415025058	meanmale	female
6.797601932	meanmale	female
4.799441331	meanmale	female
NA	meanmale	female
5.045808138	meanmale	female
-2.433106265	meanmale	female
-1.424350565	meanmale	female
-1.182156549	meanmale	female
4.35666263	meanmale	female
NA	meanmale	female
0.468749058	meanmale	female
2.272532571	meanmale	female
-0.680811837	meanmale	female
3.673766505	meanmale	female
-1.965864811	meanmale	female
-1.7496981	meanmale	female
0.421922842	meanmale	female
5.253856333	meanmale	female
NA	meanmale	female
NA	meanmale	female
NA	meanmale	female
2.994925192	meanmale	female
3.669026906	meanmale	female
1.638335159	meanmale	female
4.171520006	meanmale	female
4.553086088	meanmale	female
2.591297627	meanmale	female
1.277853763	meanmale	female
1.253217594	meanmale	female
-1.684690315	meanmale	female
3.610186737	meanmale	female
4.608159617	meanmale	female
2.780451735	meanmale	female
2.850633608	meanmale	female
1.774096008	meanmale	female
4.197463335	meanmale	female
2.810312542	meanmale	female
1.686935808	meanmale	female
2.535327497	meanmale	female
1.025915517	meanmale	female
0.004002144	meanmale	female
3.180256435	meanmale	female
-3.935420119	meanmale	female
3.969933306	meanmale	female
-0.392297789	meanmale	female
1.458132767	meanmale	female
1.678180368	meanmale	female
4.840442316	meanmale	female
-0.065232964	meanmale	female
5.695586446	meanmale	female
3.033977362	meanmale	female
2.536809539	meanmale	female
-0.790546196	meanmale	female
5.557375258	meanmale	female
0.423988797	meanmale	female
5.102727501	meanmale	female
0.682804009	meanmale	female
2.025364116	meanmale	female
4.442412937	meanmale	female
-0.172183865	meanmale	female
-0.847806073	meanmale	female
2.432234244	meanmale	female
3.742324263	meanmale	female
5.500297865	meanmale	female
3.917788825	meanmale	female
NA	meanmale	female
NA	meanmale	female
2.602135384	meanmale	female
0.981157367	meanmale	female
-2.351939251	meanmale	female
1.702385262	meanmale	female
5.431470851	meanmale	female
3.393283343	meanmale	female
-0.83475351	meanmale	female
1.53638711	meanmale	female
2.758928625	meanmale	female
3.603196563	meanmale	female
4.438540741	meanmale	female
6.047749043	meanmale	female
NA	meanmale	female
2.434769456	meanmale	female
0.33392534	meanmale	female
4.55355675	meanmale	female
0.96047104	meanmale	female
-0.826050616	meanmale	female
-2.801823241	meanmale	female
-0.308248464	meanmale	female
-0.516284534	meanmale	female
5.571942041	meanmale	female
-0.715356236	meanmale	female
5.349008815	meanmale	female
4.272597811	meanmale	female
0.130488991	meanmale	female
2.576753172	meanmale	female
5.605919733	meanmale	female
-0.046719541	meanmale	female
0.549729375	meanmale	female
1.033772737	meanmale	female
3.285464924	meanmale	female
-1.294432966	meanmale	female
5.011577954	meanmale	female
3.813313067	meanmale	female
1.556139131	meanmale	female
3.97660756	meanmale	female
2.045298214	meanmale	female
2.301010384	meanmale	female
-1.088347286	meanmale	female
5.269887247	meanmale	female
