gid	tau	tissue	stage
TRINITY_DN132619_c0_g1_i1	0.329333451	Ovary_mean	G23
TRINITY_DN118779_c0_g1_i2	0.499841958	Ovary_mean	G23
TRINITY_DN127031_c0_g2_i3	0.094807387	Liver_fmean	G23
TRINITY_DN119686_c0_g1_i1	0.072540611	Brain_mmean	G23
TRINITY_DN111338_c0_g1_i1	0.177308433	G43_F_mean	G23
TRINITY_DN131158_c5_g3_i1	0.166860224	Liver_fmean	G23
TRINITY_DN110974_c0_g1_i4	0.59479159	Liver_mmean	G23
TRINITY_DN117533_c1_g1_i2	0.211387415	G43_M_mean	G23
TRINITY_DN136016_c2_g1_i1	0.248650769	Ovary_mean	G23
TRINITY_DN121671_c0_g1_i1	0.127419754	G27_fmean	G23
TRINITY_DN131868_c0_g12_i3	0.590820582	Brain_fmean	G23
TRINITY_DN136551_c1_g1_i3	0.552658028	Brain_mmean	G23
TRINITY_DN118206_c0_g1_i1	0.239667362	Testis_mean	G23
TRINITY_DN128225_c4_g1_i1	0.528642153	G31_fmean	G23
TRINITY_DN101457_c0_g1_i1	0.484065879	Ovary_mean	G23
TRINITY_DN131156_c0_g1_i6	0.5386353	Brain_fmean	G23
TRINITY_DN134474_c4_g1_i1	0.333160742	Ovary_mean	G23
TRINITY_DN123781_c4_g1_i1	0.291030285	G43_F_mean	G23
TRINITY_DN136380_c2_g3_i16	0.422564229	Brain_mmean	G23
TRINITY_DN132091_c0_g2_i1	0.08339667	Testis_mean	G23
TRINITY_DN128018_c0_g2_i1	0.167261344	G23_mmean	G23
TRINITY_DN117253_c1_g1_i1	0.433314622	Ovary_mean	G23
TRINITY_DN133323_c0_g1_i1	0.37640172	G23_fmean	G23
TRINITY_DN87865_c0_g1_i1	0.307144114	Ovary_mean	G23
TRINITY_DN109124_c0_g2_i2	0.234747656	Brain_mmean	G23
TRINITY_DN134491_c1_g1_i1	0.32073107	Ovary_mean	G23
TRINITY_DN118575_c0_g1_i2	0.191092361	G23_fmean	G23
TRINITY_DN131167_c2_g4_i4	0.374524616	Brain_fmean	G23
TRINITY_DN125397_c4_g1_i1	0.657988501	G31_fmean	G23
TRINITY_DN136331_c0_g3_i1	0.436739863	Liver_fmean	G23
TRINITY_DN128907_c2_g3_i1	0.482571728	G27_mmean	G23
TRINITY_DN122072_c1_g3_i3	0.347407786	Ovary_mean	G23
TRINITY_DN125443_c1_g1_i4	0.369734538	Ovary_mean	G23
TRINITY_DN124916_c1_g3_i6	0.413216047	G31_fmean	G23
TRINITY_DN109103_c0_g1_i1	0.57055317	Brain_mmean	G23
TRINITY_DN125990_c2_g2_i7	0.12223011	G43_M_mean	G23
TRINITY_DN132012_c5_g2_i1	0.527862488	Ovary_mean	G23
TRINITY_DN127011_c1_g2_i4	0.103644396	Testis_mean	G23
TRINITY_DN115966_c0_g2_i1	0.215182355	G23_fmean	G23
TRINITY_DN130716_c0_g8_i1	0.375768905	G46_M_mean	G23
TRINITY_DN119340_c0_g1_i1	0.179435827	Ovary_mean	G23
TRINITY_DN134321_c0_g1_i2	0.114325675	Brain_fmean	G23
TRINITY_DN113525_c0_g1_i1	0.202097627	G43_F_mean	G23
TRINITY_DN128983_c1_g1_i5	0.432162775	Testis_mean	G23
TRINITY_DN136550_c2_g5_i2	0.224116667	Ovary_mean	G23
TRINITY_DN117131_c0_g2_i2	0.105016669	Ovary_mean	G23
TRINITY_DN125909_c3_g1_i1	0.275870672	Ovary_mean	G23
TRINITY_DN116294_c1_g1_i2	0.214619999	Ovary_mean	G23
TRINITY_DN119520_c2_g1_i2	0.784368483	G23_mmean	G23
TRINITY_DN136179_c0_g4_i5	0.267213493	G23_fmean	G23
TRINITY_DN112911_c0_g1_i2	0.247327873	Ovary_mean	G23
TRINITY_DN131685_c1_g4_i2	0.336268632	Ovary_mean	G23
TRINITY_DN125453_c0_g2_i1	0.37821111	Ovary_mean	G23
TRINITY_DN133840_c1_g1_i1	0.331311408	G43_F_mean	G23
TRINITY_DN128433_c0_g1_i2	0.158766187	Liver_fmean	G23
TRINITY_DN130820_c7_g1_i3	0.506567256	Ovary_mean	G23
TRINITY_DN131707_c0_g8_i1	0.105462223	Testis_mean	G23
TRINITY_DN130155_c0_g2_i2	0.250723928	Ovary_mean	G23
TRINITY_DN129844_c3_g1_i2	0.194852049	G43_M_mean	G23
TRINITY_DN134711_c6_g1_i1	0.482443421	Ovary_mean	G23
TRINITY_DN133285_c0_g1_i1	0.352692842	G23_mmean	G23
TRINITY_DN126499_c3_g4_i2	0.475190044	Ovary_mean	G23
TRINITY_DN128412_c3_g1_i2	0.483923461	G23_mmean	G23
TRINITY_DN117303_c0_g1_i1	0.34251576	G27_mmean	G23
TRINITY_DN126015_c0_g1_i5	0.110421939	G27_fmean	G23
TRINITY_DN128082_c1_g3_i6	0.224504907	G23_mmean	G23
TRINITY_DN133758_c1_g6_i4	0.136429123	Brain_fmean	G23
TRINITY_DN132977_c0_g1_i4	0.152982054	Brain_mmean	G23
TRINITY_DN126586_c0_g1_i1	0.1721516	Ovary_mean	G23
TRINITY_DN129526_c5_g2_i1	0.304965699	G23_mmean	G23
TRINITY_DN208714_c0_g1_i1	0.151995298	G43_F_mean	G23
TRINITY_DN129212_c1_g4_i5	0.233313652	Ovary_mean	G23
TRINITY_DN134751_c2_g1_i2	0.087727279	Testis_mean	G23
TRINITY_DN131609_c6_g1_i3	0.293295501	G23_fmean	G23
TRINITY_DN117290_c0_g1_i2	0.362229373	Ovary_mean	G23
TRINITY_DN120174_c0_g1_i1	0.44810225	Ovary_mean	G23
TRINITY_DN136124_c9_g1_i1	0.662644484	Brain_fmean	G23
TRINITY_DN127178_c0_g3_i8	0.56783119	Ovary_mean	G23
TRINITY_DN101813_c0_g1_i1	0.500209223	G27_mmean	G23
TRINITY_DN119394_c0_g1_i1	0.544774147	Ovary_mean	G23
TRINITY_DN131259_c10_g2_i2	0.194044223	Testis_mean	G23
TRINITY_DN101610_c0_g2_i1	0.176829961	G43_F_mean	G23
TRINITY_DN115244_c0_g1_i1	0.40142812	Ovary_mean	G23
TRINITY_DN113752_c0_g1_i2	0.283993053	Brain_fmean	G23
TRINITY_DN130995_c1_g1_i1	0.307959766	Brain_mmean	G23
TRINITY_DN134022_c5_g1_i6	0.358634742	Brain_fmean	G23
TRINITY_DN121635_c0_g1_i1	0.175853409	Brain_mmean	G23
TRINITY_DN136125_c3_g2_i2	0.350576784	Testis_mean	G23
TRINITY_DN124890_c0_g1_i3	0.208861282	Testis_mean	G23
TRINITY_DN123210_c0_g1_i2	0.462063254	Liver_fmean	G23
TRINITY_DN109669_c1_g2_i1	0.576379491	Ovary_mean	G23
TRINITY_DN119023_c7_g1_i1	0.303052659	Ovary_mean	G23
TRINITY_DN109734_c0_g1_i5	0.604509969	G27_fmean	G23
TRINITY_DN130264_c0_g5_i6	0.206008043	Brain_mmean	G23
TRINITY_DN124994_c5_g1_i1	0.61250206	Brain_mmean	G23
TRINITY_DN92573_c0_g1_i1	0.359076675	Ovary_mean	G23
TRINITY_DN124348_c0_g2_i1	0.565401725	Brain_mmean	G23
TRINITY_DN124890_c0_g3_i1	0.34242154	Brain_fmean	G23
TRINITY_DN132235_c2_g1_i3	0.332709497	Ovary_mean	G23
TRINITY_DN132796_c0_g1_i6	0.431402547	Brain_mmean	G23
TRINITY_DN112845_c0_g1_i1	0.2721792	Ovary_mean	G23
TRINITY_DN120524_c0_g2_i6	0.175910279	Brain_fmean	G23
TRINITY_DN135612_c1_g1_i1	0.216475639	G23_fmean	G23
TRINITY_DN136216_c2_g1_i1	0.244606632	Testis_mean	G23
TRINITY_DN124021_c0_g1_i8	0.186409927	Brain_mmean	G23
TRINITY_DN128867_c1_g1_i4	0.269583119	G23_fmean	G23
TRINITY_DN136107_c0_g1_i2	0.359428863	Brain_fmean	G23
TRINITY_DN87383_c0_g1_i1	0.557828678	Ovary_mean	G23
